"Malli";"Numero";"Kohteen osoite";"Postinumero";"Postitoimipaikka";"Sijaintipaikan tyyppi";"Sijaintipaikka";"Aukioloaika";"Aukioloaika (lisätiedot)";"Koordinaatti LAT";"Koordinaatti LON"
"EP";="05468";"ALEKSANTERINKATU 23";="00100";"HELSINKI";"KAUPPA";"SUOMALAINEN KIRJAKAUPPA / SISÄKÄYTÄVÄ";="LIIKETILAN AUKIOLO";="";"60.168718";"24.941095"
"T";="40024";"ALEKSANTERINKATU 30";="00100";"HELSINKI";"PANKIN KONTTORI";"NORDEA SENAATINTORI";="ITSEPALVELUALUEEN AUKIOLO";="ma-su klo 06-22";"60.168930";"24.950720"
"O";="05183";"ALEKSANTERINKATU 52";="00100";"HELSINKI";"TAVARATALO";"STOCKMANN HERKKU";="LIIKETILAN AUKIOLO";="";"60.167880";"24.942500"
"O";="05184";"ALEKSANTERINKATU 52";="00100";"HELSINKI";"TAVARATALO";"STOCKMANN  / YHDYSKÄYTÄVÄ";="LIIKETILAN AUKIOLO";="";"60.167820";"24.942850"
"EP";="05447";"ALEKSANTERINKATU 52";="00100";"HELSINKI";"TAVARATALO";"STOCKMANN / 8. KERROS";="LIIKETILAN AUKIOLO";="";"60.168430";"24.941870"
"O";="05175";"ELIELINAUKIO 3";="00100";"HELSINKI";"PANKIN KONTTORI";"NORDEA HKI  RAUTATIEASEMA";="LIIKETILAN AUKIOLO";="";"60.171370";"24.940230"
"EP";="05503";"KAISANIEMENKATU 5";="00100";"HELSINKI";"METROASEMA";"METRO KAISANIEMI LIPPUHALLI";="LIIKETILAN AUKIOLO";="";"60.171250";"24.947390"
"EP";="05504";"KAISANIEMENKATU 5";="00100";"HELSINKI";"METROASEMA";"METRO KAISANIEMI LIPPUHALLI";="LIIKETILAN AUKIOLO";="";"60.171250";"24.947410"
"O";="03715";"KAIVOKATU 1";="00100";"HELSINKI";"RAUTATIEASEMA";"RAUTATIEASEMA";="LIIKETILAN AUKIOLO";="";"60.171000";"24.941670"
"O";="04614";"KAIVOKATU 1";="00100";"HELSINKI";"RAUTATIEASEMA";"RAUTATIEASEMA";="LIIKETILAN AUKIOLO";="";"60.171050";"24.941670"
